iter	RMSE
143	5.210944587
144	5.21002635
145	5.201558749
146	5.198626975
147	5.195365463
148	5.194410567
149	5.186678492
150	5.179692296
151	5.178033508
152	5.174466326
153	5.171662141
154	5.169998623
155	5.169662341
156	5.167056225
157	5.164869808
158	5.160035044
159	5.157394841
160	5.15319835
161	5.147078691
162	5.145902243
163	5.144191593
164	5.142869988
165	5.140219363
166	5.135737912
167	5.131467242
168	5.128782018
169	5.127571549
170	5.121680047
171	5.11445177
172	5.111106753
173	5.106551726
174	5.105571782
175	5.102378316
176	5.10138671
177	5.100171007
178	5.098725689
179	5.092549778
180	5.086639842
181	5.08222796
182	5.076454449
183	5.074411963
184	5.070074082
185	5.068590503
186	5.06422046
187	5.062219602
188	5.058567133
189	5.056485918
190	5.053033808
191	5.051548807
192	5.049697508
193	5.046807659
194	5.044936683
195	5.044768532
196	5.042586705
197	5.038493605
198	5.036276707
199	5.031319634
200	5.027561941
201	5.024342109
202	5.022996411
203	5.019581026
204	5.015544807
205	5.014527944
206	5.012740665
207	5.007942267
208	5.004357274
209	5.001121581
210	4.998962309
211	4.994672655
212	4.992059904
213	4.988955435
214	4.987696292
215	4.986410429
216	4.983759932
217	4.980148085
218	4.976079347
219	4.974153392
220	4.972232886
221	4.968577507
222	4.967476497
223	4.96592903
224	4.965030192
225	4.963961156
226	4.959259349
227	4.957798428
228	4.951630365
229	4.949208486
230	4.946980079
231	4.943228899
232	4.940999169
233	4.938803306
234	4.935248706
235	4.933887726
236	4.932229291
237	4.931469987
238	4.930070809
239	4.926677485
240	4.924825321
241	4.923508329
242	4.918994076
243	4.916851161
244	4.911872084
245	4.907372695
246	4.90439691
247	4.898689079
248	4.894701927
249	4.890949049
250	4.887190112
251	4.883345658
252	4.882986009
253	4.881761418
254	4.878916301
255	4.877079094
256	4.873386169
257	4.8701604
258	4.868523996
259	4.863781054
260	4.85964639
261	4.857341635
262	4.853782395
263	4.85103363
264	4.847872432
265	4.846902658
266	4.843356692
267	4.839249379
268	4.837096203
269	4.83397427
270	4.827903542
271	4.82533977
272	4.82204857
273	4.819777835
274	4.817394756
275	4.813725254
276	4.810404094
277	4.807930935
278	4.806324954
279	4.804091405
280	4.801355552
281	4.797672992
282	4.794923562
283	4.792346476
284	4.790586762
285	4.787719311
286	4.784992592
287	4.783593582
288	4.782395237
289	4.780550884
290	4.777386226
291	4.775794547
292	4.775578867
293	4.770535465
294	4.765642097
295	4.761654558
296	4.760748658
297	4.758474071
298	4.755908754
299	4.755136895
300	4.753044781
301	4.749698394
302	4.74784876
303	4.747452621
304	4.745380908
305	4.743743982
306	4.743166076
307	4.740698905
308	4.7391285
309	4.737322015
310	4.737039973
311	4.732002568
312	4.729550206
313	4.727456539
314	4.724415349
315	4.719303035
316	4.715728924
317	4.712877508
318	4.710055856
319	4.706240761
320	4.702103426
321	4.698985905
322	4.695961273
323	4.692063447
324	4.688319455
325	4.686839743
326	4.68355934
327	4.680546443
328	4.678737405
329	4.676956302
330	4.676479766
331	4.673366406
332	4.671747619
333	4.670149672
334	4.668068622
335	4.666193237
336	4.660964406
337	4.66065137
338	4.658976161
339	4.657823678
340	4.655905874
341	4.653952944
342	4.653227673
343	4.652852482
344	4.649669956
345	4.645771266
346	4.643872068
347	4.640933891
348	4.637266566
349	4.632062359
350	4.62918293
351	4.626939866
352	4.624764436
353	4.622588539
354	4.619794618
355	4.617579318
356	4.616078256
357	4.614318711
358	4.610821831
359	4.608583482
360	4.604983396
361	4.60251951
362	4.599867162
363	4.596625017
364	4.593039953
365	4.591322084
366	4.589930125
367	4.587955243
368	4.587375702
369	4.587052603
370	4.58501268
371	4.582253668
372	4.578732053
373	4.576774089
374	4.57428483
375	4.572203404
376	4.569639407
377	4.568412865
378	4.566289118
379	4.564286467
380	4.562776648
381	4.561807207
382	4.56020751
383	4.557859262
384	4.557322715
385	4.555462401
386	4.553654911
387	4.55142225
388	4.548660141
389	4.547546607
390	4.545270922
391	4.543650529
392	4.54237243
393	4.53929134
394	4.537343468
395	4.535222503
396	4.533339072
397	4.532178729
398	4.53142126
399	4.528654131
400	4.526127043
401	4.52349405
402	4.521276242
403	4.518918945
404	4.517229138
405	4.514146787
406	4.513040023
407	4.51051328
408	4.50955826
409	4.507688615
410	4.506603708
411	4.504846231
412	4.502744716
413	4.500676726
414	4.499781413
415	4.497333304
416	4.495502187
417	4.494136682
418	4.493173481
419	4.491785898
420	4.490917695
421	4.488562017
422	4.488052747
423	4.486076556
424	4.485864385
425	4.483599469
426	4.481989208
427	4.479528803
428	4.477216822
429	4.474393709
430	4.473347331
431	4.472894334
432	4.471353895
433	4.469089259
434	4.467812245
435	4.467417342
436	4.466223571
437	4.464578268
438	4.462476711
439	4.459412066
440	4.458646865
441	4.45767505
442	4.455474043
443	4.452647419
444	4.451455443
445	4.448894285
446	4.447541966
447	4.445050533
448	4.444534956
449	4.441507678
450	4.438881554
451	4.438352877
452	4.436576632
453	4.435317849
454	4.433772525
455	4.431417127
456	4.427006287
457	4.424533831
458	4.424334799
459	4.423646703
460	4.421233242
461	4.419333769
462	4.418594547
463	4.41785089
464	4.414719922
465	4.412983549
466	4.411273976
467	4.408388528
468	4.406853579
469	4.406119197
470	4.405847964
471	4.402258578
472	4.401955742
473	4.400310544
474	4.400169407
475	4.399080866
476	4.397202029
477	4.396891708
478	4.394594001
479	4.392089348
480	4.391199032
481	4.388432416
482	4.386643668
483	4.383679755
484	4.382751637
485	4.382144929
486	4.379504029
487	4.37734592
488	4.375795729
489	4.374488217
490	4.372315005
491	4.369387759
492	4.368597452
493	4.366673033
494	4.363930874
495	4.362989619
496	4.359016853
497	4.358093593
498	4.356014637
499	4.353903851
500	4.353653039
501	4.353409215
502	4.352439487
503	4.350638752
504	4.349654149
505	4.347669104
506	4.346606949
507	4.344910541
508	4.341350388
509	4.33945885
510	4.338240491
511	4.337273264
512	4.335300169
513	4.332822813
514	4.330751672
515	4.329628531
516	4.327725
517	4.327344692
518	4.326112302
519	4.325868228
520	4.322269036
521	4.320056181
522	4.319049344
523	4.316853105
524	4.314935406
525	4.313168511
526	4.311223231
527	4.310040837
528	4.307970563
529	4.307631652
530	4.307289209
531	4.306641637
532	4.305291888
533	4.304708642
534	4.302683235
535	4.301125322
536	4.299158045
537	4.296880047
538	4.294344688
539	4.292728989
540	4.292406003
541	4.291762819
542	4.291390097
543	4.290210347
544	4.289907715
545	4.289618724
546	4.288777789
547	4.28848181
548	4.287442929
549	4.284296156
550	4.281794489
551	4.281559603
552	4.279720193
553	4.277745278
554	4.277494788
555	4.276692954
556	4.275247346
557	4.273775728
558	4.272465627
559	4.268539945
560	4.266408041
561	4.265604427
562	4.264126138
563	4.263916575
564	4.263095311
565	4.262334088
566	4.262057781
567	4.259830555
568	4.257726252
569	4.257190428
570	4.256261298
571	4.252169359
572	4.252026311
573	4.250237981
574	4.249338668
575	4.248606268
576	4.245591936
577	4.244821971
578	4.243499256
579	4.240410817
580	4.237899773
581	4.237508293
582	4.235816606
583	4.233708812
584	4.233085976
585	4.232573979
586	4.231123877
587	4.230788952
588	4.228034555
589	4.22791598
590	4.22659632
591	4.225611158
592	4.224962405
593	4.223971005
594	4.222761095
595	4.220855822
596	4.219651005
597	4.2180662
598	4.216777252
599	4.216508557
600	4.211935919
601	4.209377266
602	4.20797618
603	4.205175629
604	4.202197
605	4.202097608
606	4.20111532
607	4.200120278
608	4.197685101
609	4.196109526
610	4.194370676
611	4.193780754
612	4.193632245
613	4.193023066
614	4.19133828
615	4.189758388
616	4.188016392
617	4.187281136
618	4.185078867
619	4.18440909
620	4.18418281
621	4.183825924
622	4.182620073
623	4.181499451
624	4.18136665
625	4.179810533
626	4.178569012
627	4.177971313
628	4.177316028
629	4.175569877
630	4.171587019
631	4.169685047
632	4.169266348
633	4.168163916
634	4.166735333
635	4.165431409
636	4.163891299
637	4.162519709
638	4.160153578
639	4.159964932
640	4.159890872
641	4.158432293
642	4.158119605
643	4.156843707
644	4.154766971
645	4.153500367
646	4.151843953
647	4.150723673
648	4.150079282
649	4.149890086
650	4.14763695
651	4.145938774
652	4.144776396
653	4.143255058
654	4.142111841
655	4.140861955
656	4.13896131
657	4.137192554
658	4.135746447
659	4.135048894
660	4.134312144
661	4.132772639
662	4.132594297
663	4.132197091
664	4.130939302
665	4.129536209
666	4.127948755
667	4.127784902
668	4.12619024
669	4.12475857
670	4.124086706
671	4.123395819
672	4.122469967
673	4.121196776
674	4.119753045
675	4.118333956
676	4.116705956
677	4.114776725
678	4.112714853
679	4.112259745
680	4.109288643
681	4.10862114
682	4.106347384
683	4.104952665
684	4.101666554
685	4.100193149
686	4.099506208
687	4.098193813
688	4.096907928
689	4.096312209
690	4.096177894
691	4.095971618
692	4.092686192
693	4.090461213
694	4.08801746
695	4.087197677
696	4.086385023
697	4.084376176
698	4.083747437
699	4.083430909
700	4.08110175
701	4.079520609
702	4.078767381
703	4.078318057
704	4.0775159
705	4.075774593
706	4.075658175
707	4.07501385
708	4.074340255
709	4.072394927
710	4.071162427
711	4.070256845
712	4.069718605
713	4.068030676
714	4.067523837
715	4.067367416
716	4.067073509
717	4.065629408
718	4.065495094
719	4.063743554
720	4.060822094
721	4.060748303
722	4.05861203
723	4.058209264
724	4.057621953
725	4.057063083
726	4.055323398
727	4.053367553
728	4.0522042
729	4.051114727
730	4.050965673
731	4.049085926
732	4.047762984
733	4.047703657
734	4.047451534
735	4.046156977
736	4.0444454
737	4.042936538
738	4.041720538
739	4.041508386
740	4.040913061
741	4.040014972
742	4.038843547
743	4.038628589
744	4.038032326
745	4.036708896
746	4.035558458
747	4.034752055
748	4.032833153
749	4.032420689
750	4.028220905
751	4.026801205
752	4.025048986
753	4.023547873
754	4.022766309
755	4.022698437
756	4.021476027
757	4.020607541
758	4.01971455
759	4.018084553
760	4.017447849
761	4.017375052
762	4.017014954
763	4.015680426
764	4.015049292
765	4.01325284
766	4.013185192
767	4.011926852
768	4.011784639
769	4.008344291
770	4.006256955
771	4.003692734
772	4.00295578
773	4.001472106
774	3.999916106
775	3.999776994
776	3.997990341
777	3.996425272
778	3.996362579
779	3.994768379
780	3.993664069
781	3.992514467
782	3.992162192
783	3.990967435
784	3.987788296
785	3.987661959
786	3.986898078
787	3.986832323
788	3.986293735
789	3.983717116
790	3.982419395
791	3.981975111
792	3.980967043
793	3.978433105
794	3.978298468
795	3.977836586
796	3.976777448
797	3.976425413
798	3.975166425
799	3.974307046
800	3.972703787
801	3.970944053
802	3.969818317
803	3.968142897
804	3.967370176
805	3.966752633
806	3.96469683
807	3.962914058
808	3.961983953
809	3.960212327
810	3.959337937
811	3.958588283
812	3.957923634
813	3.957110588
814	3.956531987
815	3.954188384
816	3.953778432
817	3.952978923
818	3.950793529
819	3.949015251
820	3.948538519
821	3.947946811
822	3.94711923
823	3.946676207
824	3.943814741
825	3.943439799
826	3.942425246
827	3.941752423
828	3.940590246
829	3.94052719
830	3.939135426
831	3.93904767
832	3.937477893
833	3.936797712
834	3.936348567
835	3.934326828
836	3.930978614
837	3.930845767
838	3.929248875
839	3.929174772
840	3.929076035
841	3.928594611
842	3.927821024
843	3.926165899
844	3.925795801
845	3.922536106
846	3.921085376
847	3.921030305
848	3.920902346
849	3.920375985
850	3.919410713
851	3.919355106
852	3.918439236
853	3.917398134
854	3.917290885
855	3.915108066
856	3.913411439
857	3.912863938
858	3.911669128
859	3.910960542
860	3.9104791
861	3.910269997
862	3.909538107
863	3.908622947
864	3.907333654
865	3.907040322
866	3.905945773
867	3.904974464
868	3.904186847
869	3.903173094
870	3.902307349
871	3.900737118
872	3.899858198
873	3.898891099
874	3.897607077
875	3.896392274
876	3.895820699
877	3.895213031
878	3.895157943
879	3.895065143
880	3.890796081
881	3.890699947
882	3.887890861
883	3.886286829
884	3.885685213
885	3.884200334
886	3.883602357
887	3.883285136
888	3.881316392
889	3.881265866
890	3.880152725
891	3.8779361
892	3.877532989
893	3.876243101
894	3.874068895
895	3.872186178
896	3.871808525
897	3.869619953
898	3.869211818
899	3.868587451
900	3.867284844
901	3.86633133
902	3.865782687
903	3.861832608
904	3.861314703
905	3.861202357
906	3.859811225
907	3.859705787
908	3.858650028
909	3.858412651
910	3.858371757
911	3.857425536
912	3.856852786
913	3.856746222
914	3.855013351
915	3.854422077
916	3.85368635
917	3.853585319
918	3.85181768
919	3.850907053
920	3.849689536
921	3.849469829
922	3.848918238
923	3.847899881
924	3.847440196
925	3.846904293
926	3.846508658
927	3.846456365
928	3.845642985
929	3.844302216
930	3.8442523
931	3.842920948
932	3.841718142
933	3.839763712
934	3.839698236
935	3.838544986
936	3.838380504
937	3.837393981
938	3.836069342
939	3.834466069
940	3.831553945
941	3.830638575
942	3.829572639
943	3.827958393
944	3.827263577
945	3.824680882
946	3.823705556
947	3.822705735
948	3.822050687
949	3.82177019
950	3.820739477
951	3.82053926
952	3.81848441
953	3.817716612
954	3.816208914
955	3.814886642
956	3.813124242
957	3.812623125
958	3.812104455
959	3.809573286
960	3.809193145
961	3.807257185
962	3.807210308
963	3.804813698
964	3.804578176
965	3.804063674
966	3.803233641
967	3.803016747
968	3.802741267
969	3.802439151
970	3.799035525
971	3.798082425
972	3.797184752
973	3.796530012
974	3.795566591
975	3.794317763
976	3.791682289
977	3.790737525
978	3.788937369
979	3.78860071
980	3.7881436
981	3.788087419
982	3.788040106
983	3.78754698
984	3.786493008
985	3.785236739
986	3.784087157
987	3.783723861
988	3.782833923
989	3.782272296
990	3.780581825
991	3.779717296
992	3.777256143
993	3.77567152
994	3.775115922
995	3.77437161
996	3.773758
997	3.773378869
998	3.773338627
999	3.771855549
